Layer,Channel_Index,L1_Score,GRA_Score
layer3.0.conv1,10,0.4451028,0.7496528501694789
layer3.0.conv1,11,0.5490542,0.715781809185618
layer3.0.conv1,12,0.7649657,0.5531815304755567
layer3.0.conv1,13,0.2622701,0.4329357114120648
layer3.0.conv1,14,0.7005265,0.5166618396061645
layer3.0.conv1,15,0.31857517,0.8749401875368161
layer3.0.conv1,16,0.4662793,0.6878350604924601
layer3.0.conv1,17,0.43599772,0.5221155595821793
layer3.0.conv1,18,0.042500343,0.6580489807100433
layer3.0.conv1,19,0.35072097,0.46572230455991587
layer3.0.conv1,20,0.49479,0.6147294379121654
layer3.0.conv1,21,0.750931,0.7145609445670921
layer3.0.conv1,22,0.3850732,0.6212295664290655
layer3.0.conv1,23,0.5883211,0.7380862810519278
layer3.0.conv1,24,0.31807274,0.6922384368280939
layer3.0.conv1,25,0.665709,0.6980312312106507
layer3.0.conv1,26,0.4859667,0.5481593597442317
layer3.0.conv1,27,0.74332505,0.642001644966777
layer3.0.conv1,28,0.6467872,0.6927604933611837
layer3.0.conv1,29,1.0,0.6915583204652622
layer3.0.conv1,30,0.4964568,0.7279579908000371
layer3.0.conv1,31,0.553907,0.6857183048887576
layer3.0.conv1,32,0.030540483,0.5603548889311711
layer3.0.conv1,33,0.24900281,0.9237462428065057
layer3.0.conv1,34,0.54324347,0.6535721491838239
layer3.0.conv1,35,0.6261861,0.6307754619555997
layer3.0.conv1,36,0.5038368,0.7573085862382686
layer3.0.conv1,37,0.30347767,0.35290693711908755
layer3.0.conv1,38,0.17522818,0.7414727620928937
layer3.0.conv1,39,0.29484895,0.4710510851269437
layer3.0.conv1,40,0.57985073,0.7597014546565826
layer3.0.conv1,41,0.5958459,0.19467527469911527
layer3.0.conv1,42,0.7879278,0.674720685573286
layer3.0.conv1,43,0.7323504,0.6283698044639249
layer3.0.conv1,44,0.20486283,0.5343917583087796
layer3.0.conv1,45,0.17605497,0.6664491064334269
layer3.0.conv1,46,0.6744919,0.7108127622974842
layer3.0.conv1,47,0.3744576,0.7603989510421868
layer3.0.conv1,48,0.59509134,0.0
layer3.0.conv1,49,0.49411628,0.5746917680936608
layer3.0.conv1,50,0.48875606,0.6632200293722871
layer3.0.conv1,51,0.0,0.6397140404599717
layer3.0.conv1,52,0.3333412,0.6849683405098781
layer3.0.conv1,53,0.5383374,0.6546365935973976
layer3.0.conv1,54,0.5746869,0.6084293436196276
layer3.0.conv1,55,0.726526,0.6790030575994286
layer3.0.conv1,56,0.42624754,0.7169403680621294
layer3.0.conv1,57,0.25843439,0.6727819932217618
layer3.0.conv1,58,0.3652077,0.7418725026166603
layer3.0.conv1,59,0.9220796,0.5859294284783672
layer3.0.conv1,60,0.84611857,0.521102271462049
layer3.0.conv1,61,0.7196092,0.7096479728467714
layer3.0.conv1,62,0.32001278,0.6401186998581079
layer3.0.conv1,63,0.102183774,0.606405390779031
layer3.0.conv2,0,0.8220243,0.7393770831440244
layer3.0.conv2,1,0.22119266,0.6337430344820729
layer3.0.conv2,2,0.33187068,0.859761526927141
layer3.0.conv2,3,0.47526655,0.7412638138248235
layer3.0.conv2,4,0.23804711,0.6854778431628068
layer3.0.conv2,5,0.5665861,0.8254573327307939
layer3.0.conv2,6,0.14785433,0.7251171563232144
layer3.0.conv2,7,0.40460098,0.6949572354923974
layer3.0.conv2,8,0.3250207,0.45707071700518587
layer3.0.conv2,9,0.9185251,0.7646796934299444
layer3.0.conv2,10,0.2689301,0.9999999314846577
layer3.0.conv2,11,0.40940678,0.7444267422063796
layer3.0.conv2,12,0.52222276,0.6757914005182454
layer3.0.conv2,13,0.5850236,0.6380510695365642
layer3.0.conv2,14,0.5166388,0.6959406223926926
layer3.0.conv2,15,0.75335824,0.5896066048158299
layer3.0.conv2,16,0.46097636,0.6486355469791942
layer3.0.conv2,17,0.732231,0.4343768590112453
layer3.0.conv2,18,0.32901666,0.7944308226132549
layer3.0.conv2,19,0.660811,0.5579785461500621
layer3.0.conv2,20,0.5686209,0.8482340925273757
layer3.0.conv2,21,0.42901212,0.6562057475484524
layer3.0.conv2,22,0.7984444,0.2577261858473631
layer3.0.conv2,23,0.21148463,0.7611978177190152
layer3.0.conv2,24,0.2759484,0.6288040472843274
layer3.0.conv2,25,0.51983255,0.8358596712375719
layer3.0.conv2,26,0.52739865,0.7125642715469368
layer3.0.conv2,27,0.7215511,0.5139772913442833
layer3.0.conv2,28,0.63594407,0.2853096166640759
layer3.0.conv2,29,0.35318986,0.36077802712951107
