architecture,dataset,ratio,method,seed,status,final_acc,compression_ratio,source_file,raw_method
vgg16,cifar100,0.5,GRA-CNN,123,done,70.4000,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.5_s123.json,GRA-v7
vgg16,cifar100,0.5,GRA-CNN,456,done,69.7000,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.5_s456.json,GRA-v7
vgg16,cifar100,0.5,GRA-CNN,789,done,70.7000,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.5_s789.json,GRA-v7
vgg16,cifar100,0.5,GRA-CNN,1024,done,70.7300,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_GRA-v7_r0.5_s1024.json,GRA-v7
vgg16,cifar100,0.5,CHIP,42,done,68.1800,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.5_s42.json,CHIP
vgg16,cifar100,0.5,CHIP,123,done,68.3600,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.5_s123.json,CHIP
vgg16,cifar100,0.5,CHIP,456,done,68.3300,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.5_s456.json,CHIP
vgg16,cifar100,0.5,CHIP,789,done,68.1200,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.5_s789.json,CHIP
vgg16,cifar100,0.5,CHIP,1024,done,68.4100,3.982238,C:\GRA-CNN\experiments\chip_results\vgg16_cifar100_CHIP_r0.5_s1024.json,CHIP
vgg16,cifar100,0.5,L1,42,done,70.6200,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.5_s42.json,L1
vgg16,cifar100,0.5,L1,123,done,70.2200,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.5_s123.json,L1
vgg16,cifar100,0.5,L1,456,done,69.9600,3.982200,C:\GRA-CNN\experiments\unified_results\vgg16_cifar100_L1_r0.5_s456.json,L1
